"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"KM2008-17D-28S",84619,31611,31583,28711,0.660702679067349
"KM2008-18D-28S",47847,27615,26350,22609,0.52747298681213
"KM2008-19D-28S",12876,8373,8322,8093,0.371466293880087
"KM2008-21D-28S",75039,45166,45150,42063,0.439451485227682
"KM2008-22D-28S",48447,22879,22870,22501,0.535554317088777
"KM2008-24D-28S",122023,73265,73005,67358,0.44798931349008
"KM2008-25D-28S",32242,19496,19352,18604,0.422988648346877
"KM2008-27D-28S",104318,62558,61750,56216,0.461109300408367
"KM2008-28D-28S",137072,60321,60308,52085,0.620017217228902
"KM2008-30D-28S",94906,51722,51598,51089,0.461688407476872
"KM2008-31D-28S",68247,24832,24827,22365,0.672293287617038
"KM2008-32D-28S",27334,13376,13373,11454,0.580961439964879
"KM2008-44D-28S",111414,63435,63403,62759,0.436704543414652
"KM2008-45D-28S",71476,40103,39968,39022,0.454054507806816
"KM2008-47D-28S",96814,53088,52902,44183,0.543630053504658
"KM2008-48D-28S",76858,55846,55804,52264,0.319992713835905
"KM2008-51D-28S",110747,67888,67376,58296,0.473611023323431
"KM2008-52D-28S",48964,28311,28303,25388,0.481496609754105
"KM2008-54D-28S",128996,94789,93516,82800,0.358119631616484
"KM2008-55D-28S",17682,10522,10520,9969,0.436206311503224
"KM2008-62D-28S",75995,45541,45528,44590,0.413250871767879
"KM2008-63D-28S",117921,54384,54259,50169,0.574554150660188
"KM2008-64D-28S",31058,14522,14519,12920,0.584004121321399
"KM2008-65D-28S",65835,35055,35002,34666,0.473441178704337
"KM2008-66D-28S",29271,13757,13752,13499,0.538826825185337
"KM2008-73D-28S",33543,19965,19954,19214,0.427183018811675
"KM2008-74D-28S",3273,1545,1543,1543,0.52856706385579
"KM2008-75D-28S",18919,10522,10521,9835,0.480152227919023
