"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"KM2008-17D-18S",66562,18546,18101,7541,0.886707130194405
"KM2008-18D-18S",29461,13778,11419,2520,0.914463188622246
"KM2008-19D-18S",16490,7227,6819,3123,0.810612492419648
"KM2008-21D-18S",73324,34492,33491,14096,0.807757350935574
"KM2008-22D-18S",73668,41383,41361,39236,0.467394255307596
"KM2008-24D-18S",74915,33523,31336,10028,0.866141627177468
"KM2008-25D-18S",49482,28677,26510,9138,0.815326785497757
"KM2008-27D-18S",89630,47900,44206,13571,0.848588642195693
"KM2008-28D-18S",35599,13643,13577,9396,0.736060001685441
"KM2008-30D-18S",111247,34558,34549,32457,0.708243817810817
"KM2008-31D-18S",61388,33955,33757,25592,0.583110705675376
"KM2008-32D-18S",34693,16248,16243,15969,0.539705416078171
"KM2008-44D-18S",50266,21813,21806,17681,0.64825130306768
"KM2008-45D-18S",60536,26414,26388,25409,0.58026628782873
"KM2008-47D-18S",62144,27875,27110,11901,0.808493177136972
"KM2008-48D-18S",85990,23520,22662,12170,0.858471915338993
"KM2008-51D-18S",61709,23539,20752,7153,0.884084979500559
"KM2008-52D-18S",63333,38328,38031,29503,0.534160706108979
"KM2008-54D-18S",65644,33691,29179,7999,0.878145755895436
"KM2008-55D-18S",45364,23181,23061,17645,0.611035182082709
"KM2008-62D-18S",76762,23606,23483,18609,0.757575362809724
"KM2008-63D-18S",62876,15929,14929,7878,0.874705770087156
"KM2008-65D-18S",32104,14969,14959,14090,0.561113879890356
"KM2008-66D-18S",23849,300,293,256,0.989265797308063
"KM2008-73D-18S",31827,14005,14000,13811,0.566060263298457
"KM2008-74D-18S",100106,43932,43888,35648,0.643897468683196
"KM2008-75D-18S",13874,6958,6958,6853,0.506054490413724
